timestamp,name,time,a,an,rp,rn,i1,i2,i3,u1,u2,u3,mtime,chai,chae,chri,chre,i1_amps,i2_amps,i3_amps,u1_volts,u2_volts,u3_volts
2025-02-07 21:09:31.251000+00:00,obis,2025-02-07T21:09:31.251Z,304,0,26,0,4720,4030,4430,2340,2330,2330,,,,,,4.72,4.03,4.43,234.0,233.0,233.0
2025-02-07 21:08:21.251000+00:00,obis,2025-02-07T21:08:21.251Z,297,0,25,0,4410,4020,4450,2340,2340,2330,,,,,,4.41,4.02,4.45,234.0,234.0,233.0
2025-02-07 21:07:21.192000+00:00,obis,2025-02-07T21:07:21.192Z,296,0,28,0,4180,3990,4650,2340,2330,2330,,,,,,4.18,3.99,4.65,234.0,233.0,233.0
2025-02-07 21:06:21.188000+00:00,obis,2025-02-07T21:06:21.188Z,293,0,29,0,4180,3850,4720,2340,2330,2330,,,,,,4.18,3.85,4.72,234.0,233.0,233.0
2025-02-07 21:05:21.185000+00:00,obis,2025-02-07T21:05:21.185Z,305,0,29,0,4380,4040,4810,2340,2330,2330,,,,,,4.38,4.04,4.81,234.0,233.0,233.0
2025-02-07 21:04:21.181000+00:00,obis,2025-02-07T21:04:21.181Z,306,0,28,0,4310,4020,4890,2340,2330,2330,,,,,,4.31,4.02,4.89,234.0,233.0,233.0
2025-02-07 21:03:21.178000+00:00,obis,2025-02-07T21:03:21.178Z,298,0,29,0,4280,3940,4680,2340,2330,2330,,,,,,4.28,3.94,4.68,234.0,233.0,233.0
2025-02-07 21:02:21.175000+00:00,obis,2025-02-07T21:02:21.175Z,301,0,28,0,4370,3990,4710,2340,2330,2330,,,,,,4.37,3.99,4.71,234.0,233.0,233.0
2025-02-07 21:01:21.171000+00:00,obis,2025-02-07T21:01:21.171Z,312,0,32,0,4440,4240,4880,2340,2330,2330,,,,,,4.44,4.24,4.88,234.0,233.0,233.0
2025-02-07 21:00:16.480000+00:00,obis,2025-02-07T21:00:16.48Z,296,0,41,0,4340,3890,4680,2340,2330,2330,2025-2-7 22:00:15,36425620.0,0.0,7339590.0,350.0,4.34,3.89,4.68,234.0,233.0,233.0
2025-02-07 20:59:31.170000+00:00,obis,2025-02-07T20:59:31.17Z,322,0,38,0,4920,4100,4970,2340,2330,2330,,,,,,4.92,4.1,4.97,234.0,233.0,233.0
2025-02-07 20:58:31.166000+00:00,obis,2025-02-07T20:58:31.166Z,325,0,30,0,4900,4350,4860,2340,2330,2330,,,,,,4.9,4.35,4.86,234.0,233.0,233.0
2025-02-07 20:57:31.163000+00:00,obis,2025-02-07T20:57:31.163Z,325,0,41,0,5130,4290,4680,2340,2330,2330,,,,,,5.13,4.29,4.68,234.0,233.0,233.0
2025-02-07 20:56:31.160000+00:00,obis,2025-02-07T20:56:31.16Z,327,0,32,0,5330,4040,4780,2340,2330,2330,,,,,,5.33,4.04,4.78,234.0,233.0,233.0
2025-02-07 20:55:31.156000+00:00,obis,2025-02-07T20:55:31.156Z,340,0,32,0,5800,4200,4730,2330,2330,2330,,,,,,5.8,4.2,4.73,233.0,233.0,233.0
2025-02-07 20:54:31.153000+00:00,obis,2025-02-07T20:54:31.153Z,331,0,25,0,5520,4010,4770,2340,2330,2330,,,,,,5.52,4.01,4.77,234.0,233.0,233.0
2025-02-07 20:53:31.150000+00:00,obis,2025-02-07T20:53:31.15Z,320,0,28,0,5370,3760,4770,2340,2330,2330,,,,,,5.37,3.76,4.77,234.0,233.0,233.0
2025-02-07 20:52:31.146000+00:00,obis,2025-02-07T20:52:31.146Z,330,0,30,0,5380,3960,4970,2340,2330,2330,,,,,,5.38,3.96,4.97,234.0,233.0,233.0
2025-02-07 20:51:31.143000+00:00,obis,2025-02-07T20:51:31.143Z,329,0,28,0,5240,4050,4990,2340,2330,2330,,,,,,5.24,4.05,4.99,234.0,233.0,233.0
2025-02-07 20:50:21.157000+00:00,obis,2025-02-07T20:50:21.157Z,321,0,32,0,5320,4050,4580,2340,2330,2330,,,,,,5.32,4.05,4.58,234.0,233.0,233.0
2025-02-07 20:49:21.153000+00:00,obis,2025-02-07T20:49:21.153Z,311,0,27,0,5270,3690,4520,2340,2330,2330,,,,,,5.27,3.69,4.52,234.0,233.0,233.0
2025-02-07 20:48:21.150000+00:00,obis,2025-02-07T20:48:21.15Z,314,0,24,0,5130,3920,4580,2340,2330,2330,,,,,,5.13,3.92,4.58,234.0,233.0,233.0
2025-02-07 20:47:11.150000+00:00,obis,2025-02-07T20:47:11.15Z,316,0,29,0,5300,3810,4580,2340,2330,2330,,,,,,5.3,3.81,4.58,234.0,233.0,233.0
2025-02-07 20:46:11.147000+00:00,obis,2025-02-07T20:46:11.147Z,325,0,31,0,5360,3970,4760,2340,2330,2330,,,,,,5.36,3.97,4.76,234.0,233.0,233.0
2025-02-07 20:45:11.144000+00:00,obis,2025-02-07T20:45:11.144Z,325,0,28,0,5300,4020,4740,2340,2330,2330,,,,,,5.3,4.02,4.74,234.0,233.0,233.0
2025-02-07 20:44:11.140000+00:00,obis,2025-02-07T20:44:11.14Z,320,0,23,0,5270,3740,4830,2340,2330,2330,,,,,,5.27,3.74,4.83,234.0,233.0,233.0
2025-02-07 20:43:01.140000+00:00,obis,2025-02-07T20:43:01.14Z,295,0,22,0,4780,3500,4500,2340,2330,2330,,,,,,4.78,3.5,4.5,234.0,233.0,233.0
2025-02-07 20:42:01.137000+00:00,obis,2025-02-07T20:42:01.137Z,310,0,24,0,4880,3660,4920,2330,2330,2320,,,,,,4.88,3.66,4.92,233.0,233.0,232.0
2025-02-07 20:40:51.131000+00:00,obis,2025-02-07T20:40:51.131Z,305,0,22,0,4930,3520,4770,2340,2330,2330,,,,,,4.93,3.52,4.77,234.0,233.0,233.0
2025-02-07 20:39:51.127000+00:00,obis,2025-02-07T20:39:51.127Z,302,0,23,0,4920,3490,4630,2340,2330,2330,,,,,,4.92,3.49,4.63,234.0,233.0,233.0
2025-02-07 20:38:41.128000+00:00,obis,2025-02-07T20:38:41.128Z,308,0,21,0,4930,3840,4570,2340,2330,2330,,,,,,4.93,3.84,4.57,234.0,233.0,233.0
2025-02-07 20:37:41.124000+00:00,obis,2025-02-07T20:37:41.124Z,307,0,22,0,4570,4080,4660,2340,2330,2330,,,,,,4.57,4.08,4.66,234.0,233.0,233.0
2025-02-07 20:36:41.121000+00:00,obis,2025-02-07T20:36:41.121Z,308,0,25,0,4550,4130,4710,2330,2330,2320,,,,,,4.55,4.13,4.71,233.0,233.0,232.0
2025-02-07 20:35:31.121000+00:00,obis,2025-02-07T20:35:31.121Z,319,0,25,0,4970,4290,4570,2330,2330,2330,,,,,,4.97,4.29,4.57,233.0,233.0,233.0
2025-02-07 20:34:31.118000+00:00,obis,2025-02-07T20:34:31.118Z,321,0,26,0,5220,4210,4510,2340,2330,2330,,,,,,5.22,4.21,4.51,234.0,233.0,233.0
2025-02-07 20:33:31.114000+00:00,obis,2025-02-07T20:33:31.114Z,315,0,28,0,5170,4140,4420,2340,2330,2330,,,,,,5.17,4.14,4.42,234.0,233.0,233.0
2025-02-07 20:32:31.111000+00:00,obis,2025-02-07T20:32:31.111Z,321,0,26,0,5070,4360,4520,2340,2330,2330,,,,,,5.07,4.36,4.52,234.0,233.0,233.0
2025-02-07 20:31:21.111000+00:00,obis,2025-02-07T20:31:21.111Z,313,0,27,0,4590,4440,4550,2330,2330,2330,,,,,,4.59,4.44,4.55,233.0,233.0,233.0
2025-02-07 20:30:11.103000+00:00,obis,2025-02-07T20:30:11.103Z,313,0,24,0,4770,4300,4750,2290,2290,2280,,,,,,4.77,4.3,4.75,229.0,229.0,228.0
