timestamp,name,time,a,an,rp,rn,i1,i2,i3,u1,u2,u3,mtime,chai,chae,chri,chre,i1_amps,i2_amps,i3_amps,u1_volts,u2_volts,u3_volts
2025-02-07 21:10:02.450000+00:00,obis,2025-02-07T21:10:02.45Z,596,0,0,24,8320,8900,7890,2380,2390,2390,,,,,,8.32,8.9,7.89,238.0,239.0,239.0
2025-02-07 21:09:02.422000+00:00,obis,2025-02-07T21:09:02.422Z,620,0,0,21,8530,9370,8120,2380,2390,2390,,,,,,8.53,9.37,8.12,238.0,239.0,239.0
2025-02-07 21:08:02.393000+00:00,obis,2025-02-07T21:08:02.393Z,605,0,0,65,8470,9140,8020,2380,2390,2390,,,,,,8.47,9.14,8.02,238.0,239.0,239.0
2025-02-07 21:07:02.390000+00:00,obis,2025-02-07T21:07:02.39Z,593,0,0,68,8100,9250,7720,2380,2390,2390,,,,,,8.1,9.25,7.72,238.0,239.0,239.0
2025-02-07 21:05:52.390000+00:00,obis,2025-02-07T21:05:52.39Z,557,0,0,65,7780,8790,7040,2380,2390,2390,,,,,,7.78,8.79,7.04,238.0,239.0,239.0
2025-02-07 21:04:52.387000+00:00,obis,2025-02-07T21:04:52.387Z,544,0,0,62,7760,8490,6760,2380,2380,2390,,,,,,7.76,8.49,6.76,238.0,238.0,239.0
2025-02-07 21:03:52.371000+00:00,obis,2025-02-07T21:03:52.371Z,600,0,0,64,8400,9490,7520,2380,2380,2390,,,,,,8.4,9.49,7.52,238.0,238.0,239.0
2025-02-07 21:02:52.368000+00:00,obis,2025-02-07T21:02:52.368Z,587,0,0,64,8200,9300,7310,2380,2380,2390,,,,,,8.2,9.3,7.31,238.0,238.0,239.0
2025-02-07 21:01:52.364000+00:00,obis,2025-02-07T21:01:52.364Z,579,0,0,65,8280,9070,7180,2380,2380,2380,,,,,,8.28,9.07,7.18,238.0,238.0,238.0
2025-02-07 21:00:47.715000+00:00,obis,2025-02-07T21:00:47.715Z,590,0,0,64,8370,9300,7280,2380,2380,2390,2025-2-7 22:00:45,1605510.0,0.0,326120.0,60160.0,8.37,9.3,7.28,238.0,238.0,239.0
2025-02-07 21:00:02.655000+00:00,obis,2025-02-07T21:00:02.655Z,575,0,0,67,7960,9130,7270,2380,2380,2390,,,,,,7.96,9.13,7.27,238.0,238.0,239.0
2025-02-07 20:58:52.404000+00:00,obis,2025-02-07T20:58:52.404Z,584,0,0,67,8030,9420,7270,2380,2390,2390,,,,,,8.03,9.42,7.27,238.0,239.0,239.0
2025-02-07 20:57:52.351000+00:00,obis,2025-02-07T20:57:52.351Z,566,0,0,69,8080,8640,7310,2380,2380,2390,,,,,,8.08,8.64,7.31,238.0,238.0,239.0
