startTime,endTime,duration,startMeasureImport,endMeasureImport,startMeasureExport,endMeasureExport,import,export,meter_id,time,air_temperature
2025-02-07 13:00:00+00:00,2025-02-07T14:00:00.000Z,1,1597750,1598810,0,0,1060,0,Jfmwhk2e,2025-02-07 13:00:00+00:00,2.45
2025-02-07 14:00:00+00:00,2025-02-07T15:00:00.000Z,1,1598810,1599850,0,0,1040,0,Jfmwhk2e,2025-02-07 14:00:00+00:00,1.6
2025-02-07 15:00:00+00:00,2025-02-07T16:00:00.000Z,1,1599850,1600900,0,0,1050,0,Jfmwhk2e,2025-02-07 15:00:00+00:00,1.2833333333333334
2025-02-07 16:00:00+00:00,2025-02-07T17:00:00.000Z,1,1600900,1601950,0,0,1050,0,Jfmwhk2e,2025-02-07 16:00:00+00:00,0.15
2025-02-07 17:00:00+00:00,2025-02-07T18:00:00.000Z,1,1601950,1602970,0,0,1020,0,Jfmwhk2e,2025-02-07 17:00:00+00:00,-0.45
2025-02-07 18:00:00+00:00,2025-02-07T19:00:00.000Z,1,1602970,1603960,0,0,990,0,Jfmwhk2e,2025-02-07 18:00:00+00:00,-1.4200000000000002
2025-02-07 19:00:00+00:00,2025-02-07T20:00:00.000Z,1,1603960,1604850,0,0,890,0,Jfmwhk2e,2025-02-07 19:00:00+00:00,-2.6
2025-02-07 20:00:00+00:00,2025-02-07T21:00:00.000Z,1,1604850,1605510,0,0,660,0,Jfmwhk2e,2025-02-07 20:00:00+00:00,-1.7333333333333334
2025-02-07 21:00:00+00:00,2025-02-07T22:00:00.000Z,1,1605510,1606040,0,0,530,0,Jfmwhk2e,2025-02-07 21:00:00+00:00,-1.1166666666666667
2025-02-07 22:00:00+00:00,2025-02-07T23:00:00.000Z,1,1606040,1606530,0,0,490,0,Jfmwhk2e,2025-02-07 22:00:00+00:00,-0.9833333333333334
2025-02-07 23:00:00+00:00,2025-02-08T00:00:00.000Z,1,1606530,1606990,0,0,460,0,Jfmwhk2e,2025-02-07 23:00:00+00:00,-0.7166666666666667
2025-02-08 00:00:00+00:00,2025-02-08T01:00:00.000Z,1,1606990,1607440,0,0,450,0,Jfmwhk2e,2025-02-08 00:00:00+00:00,-0.6833333333333332
2025-02-08 01:00:00+00:00,2025-02-08T02:00:00.000Z,1,1607440,1607900,0,0,460,0,Jfmwhk2e,2025-02-08 01:00:00+00:00,-0.65
2025-02-08 02:00:00+00:00,2025-02-08T03:00:00.000Z,1,1607900,1608350,0,0,450,0,Jfmwhk2e,2025-02-08 02:00:00+00:00,-0.4166666666666667
2025-02-08 03:00:00+00:00,2025-02-08T04:00:00.000Z,1,1608350,1608800,0,0,450,0,Jfmwhk2e,2025-02-08 03:00:00+00:00,-0.02
2025-02-08 04:00:00+00:00,2025-02-08T05:00:00.000Z,1,1608800,1609270,0,0,470,0,Jfmwhk2e,2025-02-08 04:00:00+00:00,0.1
2025-02-08 05:00:00+00:00,2025-02-08T06:00:00.000Z,1,1609270,1609800,0,0,530,0,Jfmwhk2e,2025-02-08 05:00:00+00:00,0.1
2025-02-08 06:00:00+00:00,2025-02-08T07:00:00.000Z,1,1609800,1610360,0,0,560,0,Jfmwhk2e,2025-02-08 06:00:00+00:00,0.06
