Table 1,,,,,,,,,,,,
unit_id,,,Name,Link,Energy,Temperature,Volume water,Co2,Heating degree,Cost,Peak High,ZoneCost
,,,,,1,2,3,7,8,9,11,47
23903building,,,Ski Storsenter,/api/unit/23903building,/api/unitdata/23903building1,/api/unitdata/23903building2,/api/unitdata/23903building3,/api/unitdata/23903building7,/api/unitdata/23903building8,/api/unitdata/23903building9,/api/unitdata/23903building11,/api/unitdata/23903building47
,97893eb,,a_Fjernvarme Kjøpesenter,https://www.energinet.net/api/unit/97893eb,https://www.energinet.net/api/unitdata/97893eb1,https://www.energinet.net/api/unitdata/97893eb2,https://www.energinet.net/api/unitdata/97893eb3,https://www.energinet.net/api/unitdata/97893eb7,https://www.energinet.net/api/unitdata/97893eb8,https://www.energinet.net/api/unitdata/97893eb9,https://www.energinet.net/api/unitdata/97893eb11,https://www.energinet.net/api/unitdata/97893eb47
,97894eb,,b_Fjernvarme Hotell,https://www.energinet.net/api/unit/97894eb,https://www.energinet.net/api/unitdata/97894eb1,https://www.energinet.net/api/unitdata/97894eb2,https://www.energinet.net/api/unitdata/97894eb3,https://www.energinet.net/api/unitdata/97894eb7,https://www.energinet.net/api/unitdata/97894eb8,https://www.energinet.net/api/unitdata/97894eb9,https://www.energinet.net/api/unitdata/97894eb11,https://www.energinet.net/api/unitdata/97894eb47
,97895eb,,c_Fjernvarme Egon,https://www.energinet.net/api/unit/97895eb,https://www.energinet.net/api/unitdata/97895eb1,https://www.energinet.net/api/unitdata/97895eb2,https://www.energinet.net/api/unitdata/97895eb3,https://www.energinet.net/api/unitdata/97895eb7,https://www.energinet.net/api/unitdata/97895eb8,https://www.energinet.net/api/unitdata/97895eb9,https://www.energinet.net/api/unitdata/97895eb11,https://www.energinet.net/api/unitdata/97895eb47
,97902eb,,d_Fjernvarme Kino,https://www.energinet.net/api/unit/97902eb,https://www.energinet.net/api/unitdata/97902eb1,https://www.energinet.net/api/unitdata/97902eb2,https://www.energinet.net/api/unitdata/97902eb3,https://www.energinet.net/api/unitdata/97902eb7,https://www.energinet.net/api/unitdata/97902eb8,https://www.energinet.net/api/unitdata/97902eb9,https://www.energinet.net/api/unitdata/97902eb11,https://www.energinet.net/api/unitdata/97902eb47
,97897eb,,e_Fjernvarme Bibliotek,https://www.energinet.net/api/unit/97897eb,https://www.energinet.net/api/unitdata/97897eb1,https://www.energinet.net/api/unitdata/97897eb2,https://www.energinet.net/api/unitdata/97897eb3,https://www.energinet.net/api/unitdata/97897eb7,https://www.energinet.net/api/unitdata/97897eb8,https://www.energinet.net/api/unitdata/97897eb9,https://www.energinet.net/api/unitdata/97897eb11,https://www.energinet.net/api/unitdata/97897eb47
,97898eb,,f_Fjernvarme Bolig,https://www.energinet.net/api/unit/97898eb,https://www.energinet.net/api/unitdata/97898eb1,https://www.energinet.net/api/unitdata/97898eb2,https://www.energinet.net/api/unitdata/97898eb3,https://www.energinet.net/api/unitdata/97898eb7,https://www.energinet.net/api/unitdata/97898eb8,https://www.energinet.net/api/unitdata/97898eb9,https://www.energinet.net/api/unitdata/97898eb11,https://www.energinet.net/api/unitdata/97898eb47
,100122eb,,Ski storsenter - Solceller kvartal 17,https://www.energinet.net/api/unit/100122eb,https://www.energinet.net/api/unitdata/100122eb1,https://www.energinet.net/api/unitdata/100122eb2,https://www.energinet.net/api/unitdata/100122eb3,https://www.energinet.net/api/unitdata/100122eb7,https://www.energinet.net/api/unitdata/100122eb8,https://www.energinet.net/api/unitdata/100122eb9,https://www.energinet.net/api/unitdata/100122eb11,https://www.energinet.net/api/unitdata/100122eb47
,,206199meter,Solceller 1,https://www.energinet.net/api/unit/206199meter,https://www.energinet.net/api/unitdata/206199meter1,https://www.energinet.net/api/unitdata/206199meter2,https://www.energinet.net/api/unitdata/206199meter3,https://www.energinet.net/api/unitdata/206199meter7,https://www.energinet.net/api/unitdata/206199meter8,https://www.energinet.net/api/unitdata/206199meter9,https://www.energinet.net/api/unitdata/206199meter11,https://www.energinet.net/api/unitdata/206199meter47
,,206200meter,Solceller 2,https://www.energinet.net/api/unit/206200meter,https://www.energinet.net/api/unitdata/1,https://www.energinet.net/api/unitdata/206200meter2,https://www.energinet.net/api/unitdata/3,https://www.energinet.net/api/unitdata/7,https://www.energinet.net/api/unitdata/8,https://www.energinet.net/api/unitdata/9,https://www.energinet.net/api/unitdata/11,https://www.energinet.net/api/unitdata/47
